School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Blue Springs,35.2,30.99,66.2,1,2,1
Webb City,29.5,30.08,59.59,4,3,2
Lee's Summit West,29.01,28.85,57.86,5,4,3
Lamar,34.42,23.14,57.55,3,19,4
Fort Osage,23.45,32.52,55.97,13,1,5
Rockhurst,23.77,27.42,51.19,11,6,6
Maryville,25.17,24.19,49.36,8,13,7
Parkway Central,22.92,26.02,48.95,14,8,8
Kearney,26.12,22.66,48.77,7,20,9
Helias Catholic,24.11,23.81,47.92,10,17,10
Lee's Summit,28.3,17.09,45.39,6,33,11
Francis Howell,21.57,23.52,45.09,17,18,12
Nixa,19.72,25.15,44.88,23,9,13
Carl Junction,35.15,9.21,44.36,2,86,14
Staley,15.46,27.64,43.1,45,5,15
Kickapoo,22.25,19.79,42.04,16,24,16
Blue Springs South,14.86,26.56,41.42,48,7,17
Liberty North,16.76,24.65,41.4,39,11,18
Liberty,17.23,24.1,41.33,36,16,19
Oak Grove,22.8,18.51,41.31,15,27,20
Kirkwood,20.58,19.79,40.36,19,23,21
Park Hill South,14.99,24.94,39.94,47,10,22
Hazelwood Central,24.96,13.82,38.79,9,57,23
De Smet Jesuit,19.88,18.87,38.75,22,26,24
Rock Bridge,23.64,15.05,38.7,12,45,25
Christian Brothers College,13.55,24.19,37.74,58,14,26
Bolivar,14.39,22.37,36.76,49,21,27
Ft. Zumwalt East,19.36,16.83,36.2,25,34,28
Liberty (Mountain View),19.32,15.64,34.96,26,38,29
Eureka,20.06,13.87,33.93,21,56,30
Pleasant Hill,17.84,16.08,33.92,33,36,31
Raymore-Peculiar,18.49,15.08,33.57,30,44,32
Ladue Horton Watkins,18.54,14.76,33.3,29,47,33
Camdenton,12.7,20.48,33.17,63,22,34
California,14.37,18.37,32.73,50,28,35
McCluer South-Berkeley,19.64,12.77,32.4,24,65,36
Seneca,18.33,14.01,32.34,31,53,37
Webster Groves,16.26,15.77,32.03,42,37,38
Carthage,20.56,10.9,31.45,20,78,39
Hillcrest,18.19,12.1,30.29,32,70,40
John Burroughs,11.07,19.04,30.11,71,25,41
Jefferson City,12.78,17.3,30.09,62,30,42
Savannah,17.81,11.97,29.78,34,72,43
Jackson,18.57,11.03,29.6,28,77,44
Harrisonville,14.32,14.69,29.01,51,48,45
Ft. Zumwalt West,13.68,15.13,28.81,55,42,46
Hazelwood East,14.23,13.99,28.22,52,54,47
Francis Howell Central,16.74,11.18,27.92,40,74,48
Winnetonka,13.46,14.2,27.65,60,51,49
Strafford,21.42,5.4,26.83,18,115,50
Ft. Zumwalt North,11.47,15.27,26.75,68,40,51
Cameron,11.42,15.27,26.69,69,41,52
Lafayette (St. Joseph),13.59,12.38,25.97,57,68,53
Willard,8.43,17.42,25.85,88,29,54
Valle Catholic,15.43,10.37,25.8,46,82,55
Hickman,1.32,24.16,25.47,141,15,56
Central (St. Joseph),8.16,17.28,25.44,90,31,57
Vianney,9.23,15.32,24.55,80,39,58
Central (Park Hills),7.93,16.2,24.13,93,35,59
Smithville,6.77,17.12,23.89,100,32,60
Lafayette (Wildwood),9.68,14.13,23.81,78,52,61
Park Hill,10.47,13.07,23.54,73,64,62
Mountain Grove,16.8,6.49,23.28,38,107,63
Raytown,10.18,13.08,23.26,77,63,64
Pattonville,17.16,5.26,22.42,37,117,65
Ritenour,12.94,9.46,22.41,61,84,66
Lee's Summit North,7.31,14.83,22.14,95,46,67
Grain Valley,16.5,5.51,22.01,41,114,68
Moberly,11.21,10.75,21.96,70,79,69
Platte County,14.03,6.99,21.03,54,101,70
Central (Cape Girardeau),16.02,4.74,20.75,43,125,71
Hogan Prep Academy Charter,7.19,13.45,20.63,96,59,72
Branson,10.37,10.05,20.42,75,83,73
Lebanon,7.73,12.51,20.24,94,67,74
Ozark,18.94,1.26,20.2,27,150,75
Raytown South,6.49,13.66,20.14,102,58,76
Miller Career Academy,11.57,8.23,19.8,67,90,77
Hannibal,12.69,6.61,19.3,64,106,78
Cassville,7.97,11.04,19.01,92,76,79
Lawson,5.57,13.41,18.98,112,60,80
Grandview,13.59,5.17,18.76,56,119,81
Parkway North,8.28,10.43,18.7,89,81,82
Westminster Christian Academy,6.07,12.63,18.7,109,66,83
Festus,17.33,0.23,17.56,35,157,84
St. Charles West,10.43,7.12,17.55,74,100,85
SLUH,8.03,9.23,17.27,91,85,86
Bishop LeBlond,2.61,14.62,17.23,132,49,87
Center,4.94,11.64,16.58,116,73,88
Westran,8.5,6.72,15.22,85,105,89
Midway,1.81,13.4,15.22,137,61,90
Republic,6.97,8.11,15.07,97,93,91
Lindbergh,6.91,8.07,14.98,98,94,92
Hazelwood West,0.8,13.91,14.72,151,55,93
St. Pius X (Kansas City),1.3,13.36,14.66,142,62,94
Timberland,0.32,14.22,14.54,156,50,95
Blair Oaks,10.53,3.92,14.45,72,133,96
North Kansas City,10.33,3.9,14.24,76,134,97
Chaminade College Prep,9.0,5.07,14.08,82,121,98
Lafayette County,4.78,8.65,13.42,119,87,99
Joplin,9.22,3.7,12.92,81,135,100
Duchesne,0.83,11.99,12.81,150,71,101
Waynesville,4.83,7.9,12.73,118,96,102
Osceola,1.22,11.05,12.28,145,75,103
Ste. Genevieve,9.32,2.91,12.22,79,139,104
Oakville,5.92,6.28,12.19,111,110,105
Smith-Cotton,6.12,6.03,12.15,107,111,106
Barat Academy,-12.32,24.25,11.93,249,12,107
East Buchanan,14.05,-2.19,11.86,53,178,108
Parkview,8.47,3.25,11.72,86,138,109
Hillsboro,12.66,-0.98,11.69,65,166,110
McCluer North,2.9,8.57,11.47,129,88,111
Francis Howell North,8.53,2.76,11.29,83,142,112
Brookfield,-0.96,12.11,11.15,167,69,113
Caruthersville,13.52,-2.66,10.86,59,184,114
Aurora,5.46,5.2,10.66,114,118,115
Excelsior Springs,6.25,4.31,10.56,104,127,116
Chillicothe,4.56,5.94,10.5,120,113,117
Pembroke Hill,5.48,4.8,10.28,113,124,118
Sullivan,8.44,1.84,10.28,87,146,119
Reeds Spring,6.25,3.95,10.2,105,132,120
Belton,11.61,-1.78,9.83,66,171,121
Priory,1.11,8.55,9.66,147,89,122
Chaminade College Preparatory,6.62,2.89,9.5,101,140,123
Parkway South,2.44,6.95,9.4,133,102,124
Penney,8.52,0.25,8.77,84,156,125
Palmyra,0.36,8.18,8.54,155,91,126
O'Hara,3.14,4.28,7.42,127,128,127
Rockwood Summit,0.41,6.9,7.31,154,103,128
Ava,-8.25,15.09,6.84,216,43,129
Eldon,6.1,0.72,6.82,108,152,130
Benton,6.26,0.32,6.59,103,155,131
Mehlville,5.98,-0.14,5.84,110,160,132
Lutheran North,6.86,-1.06,5.8,99,167,133
Poplar Bluff,-2.4,8.06,5.66,176,95,134
Skyline,3.05,2.49,5.54,128,144,135
Marceline,-2.21,7.34,5.13,173,98,136
Mt. Vernon,-2.6,7.67,5.07,178,97,137
Affton,0.13,4.92,5.05,158,122,138
South Callaway,-3.1,8.11,5.02,181,92,139
Veritas Christian Academy,4.27,0.63,4.9,123,153,140
South Harrison,-1.9,6.74,4.84,171,104,141
Monett,-0.6,5.4,4.8,162,116,142
West Plains,0.12,4.51,4.64,159,126,143
Marionville,-0.96,5.15,4.19,166,120,144
Marshfield,15.88,-12.24,3.65,44,256,145
Brentwood,5.03,-1.76,3.28,115,169,146
Neosho,4.43,-1.77,2.66,122,170,147
Parkway West,-1.63,4.15,2.52,170,130,148
Ash Grove,1.84,0.02,1.86,136,158,149
Union,3.81,-2.11,1.7,125,175,150
Hermann,-3.56,4.91,1.35,185,123,151
Lathrop,2.81,-1.72,1.1,131,168,152
Riverview Gardens,1.23,-0.63,0.6,144,163,153
MICDS,0.68,-0.17,0.51,153,161,154
Mexico,-10.29,10.68,0.4,232,80,155
Marquette,-3.42,3.34,-0.08,184,137,156
Holden,-0.09,-0.13,-0.22,160,159,157
Macon,-4.35,4.02,-0.33,189,131,158
Richmond,-2.38,1.75,-0.63,175,147,159
Thayer,-8.61,7.31,-1.29,218,99,160
Clayton,-0.78,-0.53,-1.31,164,162,161
Salisbury,-5.08,2.83,-2.25,195,141,162
Sikeston,-8.78,6.38,-2.4,220,108,163
North County,0.24,-2.75,-2.51,157,186,164
University City,-0.61,-2.33,-2.94,163,180,165
Carnahan,2.86,-5.81,-2.95,130,204,166
Troy Buchanan,2.14,-5.11,-2.97,135,201,167
Springfield Catholic,4.54,-7.81,-3.28,121,215,168
Ft. Zumwalt South,0.94,-4.34,-3.4,148,195,169
Rolla,-2.75,-0.96,-3.71,179,165,170
Glendale,-5.57,1.55,-4.01,202,149,171
Crest Ridge,-6.64,2.54,-4.1,208,143,172
Willow Springs,-3.28,-0.85,-4.13,182,164,173
Kirksville,-2.15,-2.08,-4.24,172,174,174
Trenton,0.94,-5.34,-4.4,149,202,175
Fulton,3.58,-8.1,-4.52,126,218,176
St. Pius X (Festus),-8.94,4.27,-4.67,222,129,177
Holt,-0.9,-4.08,-4.98,165,193,178
Van Horn,-11.11,5.95,-5.16,237,112,179
University Academy Charter,-6.3,0.5,-5.81,205,154,180
Hallsville,-2.4,-3.46,-5.86,177,189,181
Soldan International Studies,-7.6,1.66,-5.94,210,148,182
McCluer,-9.52,3.52,-6.0,227,136,183
Potosi,-3.75,-2.29,-6.05,187,179,184
Nevada,0.77,-6.91,-6.14,152,211,185
