School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Maryville,24.97,24.76,49.72,1,1,1
Oak Grove,22.34,18.27,40.61,2,4,2
Seneca,20.92,15.47,36.39,3,5,3
California,14.72,19.08,33.8,5,3,4
McCluer South-Berkeley,19.54,13.19,32.72,4,10,5
John Burroughs,10.9,19.8,30.7,7,2,6
Cameron,11.39,15.41,26.79,6,6,7
Central (Park Hills),7.37,15.39,22.76,10,7,8
Cassville,8.71,12.63,21.35,8,11,9
Hogan Prep Academy Charter,6.07,14.48,20.55,12,9,10
Center,4.06,11.21,15.26,18,13,11
Duchesne,0.38,12.2,12.58,24,12,12
Chillicothe,5.29,7.17,12.46,15,17,13
Aurora,5.59,6.56,12.15,14,18,14
Reeds Spring,5.82,4.18,10.0,13,22,15
Ste. Genevieve,7.49,2.4,9.89,9,25,16
St. Pius X (Kansas City),-1.64,10.01,8.37,26,14,17
Pembroke Hill,3.69,4.17,7.87,21,23,18
Eldon,6.27,1.3,7.57,11,28,19
Mt. Vernon,-1.7,8.98,7.29,27,16,20
Ava,-8.46,15.14,6.68,38,8,21
Monett,0.18,6.12,6.3,25,20,22
O'Hara,2.32,3.53,5.85,22,24,23
Veritas Christian Academy,3.96,0.66,4.62,19,29,24
Centralia,-5.26,9.61,4.35,33,15,25
Macon,-2.27,4.37,2.1,28,21,26
Richmond,-3.12,1.87,-1.25,29,27,27
Fulton,4.66,-6.85,-2.2,17,39,28
Springfield Catholic,3.8,-7.7,-3.9,20,42,29
Osage,5.14,-11.17,-6.03,16,43,30
Soldan International Studies,-8.28,2.12,-6.16,36,26,31
Cardinal Ritter,-4.67,-2.49,-7.17,30,32,32
Boonville,-7.17,-0.15,-7.32,34,31,33
Potosi,-4.96,-3.42,-8.38,31,34,34
Lincoln College Prep,-7.56,-3.87,-11.43,35,35,35
Odessa,-5.08,-7.01,-12.1,32,40,36
East Newton,-12.5,0.32,-12.19,44,30,37
Salem,-8.38,-6.42,-14.8,37,37,38
Clinton,-12.34,-2.89,-15.24,43,33,39
Kennett,2.26,-17.82,-15.55,23,56,40
Logan-Rogersville,-21.77,6.14,-15.63,54,19,41
Fredericktown,-10.76,-6.72,-17.48,42,38,42
Trinity Catholic,-10.28,-11.64,-21.92,41,44,43
Orchard Farm,-8.49,-14.05,-22.54,39,52,44
Southern Boone,-9.02,-13.65,-22.67,40,51,45
Central (New Madrid County),-18.46,-6.08,-24.54,48,36,46
Hollister,-12.55,-13.36,-25.91,45,49,47
Dexter,-12.57,-13.54,-26.11,46,50,48
St. James,-14.98,-14.9,-29.89,47,53,49
Sumner,-24.84,-7.41,-32.24,57,41,50
Northeast (Kansas City),-21.45,-12.59,-34.04,53,47,51
Owensville,-22.12,-12.39,-34.5,55,46,52
Wright City,-22.76,-11.75,-34.51,56,45,53
Buffalo,-20.6,-16.87,-37.47,51,54,54
Central (Kansas City),-26.36,-12.62,-38.98,60,48,55
Bishop DuBourg,-20.72,-18.55,-39.27,52,57,56
Southwest Early College,-24.96,-16.97,-41.92,58,55,57
Versailles,-19.61,-22.42,-42.03,50,59,58
East (Kansas City),-19.41,-28.29,-47.7,49,61,59
Winfield,-28.1,-22.21,-50.31,62,58,60
Lift for Life Academy Charter,-26.78,-25.28,-52.06,61,60,61
John F. Kennedy,-25.36,-33.27,-58.63,59,62,62
Missouri Military Academy,-43.67,-44.08,-87.75,63,63,63
