Date,Home Team,Home Score,Away Team,Away Score
2013-08-29,Cole Camp,0,Skyline,47
2013-08-30,Butler,0,Adrian,39
2013-08-30,Rich Hill with Hume,43,Archie,8
2013-08-30,Ava,12,Aurora,19
2013-08-30,Raymore-Peculiar,62,Belton,14
2013-08-30,Southeast,30,Bishop LeBlond,64
2013-08-30,Central (St. Joseph),6,Blue Springs,41
2013-08-30,Neosho,14,Bolivar,51
2013-08-30,California,42,Boonville,7
2013-08-30,Cassville,28,Branson,35
2013-08-30,Fair Grove,26,Buffalo,12
2013-08-30,Hillcrest,14,Camdenton,17
2013-08-30,Pembroke Hill,14,Cameron,37
2013-08-30,Potosi,31,Carnahan,42
2013-08-30,Seneca,33,Carthage,40
2013-08-30,Liberty (Mountain View),60,Caruthersville,28
2013-08-30,Malden,12,Central (New Madrid County),0
2013-08-30,Republic,40,Central (Springfield),0
2013-08-30,Rockwood Summit,28,Chaminade College Preparatory,30
2013-08-30,Sikeston,24,Charleston,6
2013-08-30,Monroe City,25,Clark County,41
2013-08-30,Lafayette County,42,Concordia,26
2013-08-30,East Buchanan,48,Crest Ridge,27
2013-08-30,Brentwood,41,Crystal City,0
2013-08-30,Rock Bridge,41,De Smet Jesuit,35
2013-08-30,Ste. Genevieve,42,Dexter,7
2013-08-30,Liberal with Bronaugh,0,Diamond,34
2013-08-30,Appleton City with Montrose,16,Drexel with Miami (Amoret),62
2013-08-30,Perryville,26,East Prairie,12
2013-08-30,Stockton,14,El Dorado Springs,8
2013-08-30,Miller Career Academy,48,Eldon,42
2013-08-30,Lafayette (Wildwood),21,Eureka,35
2013-08-30,Festus,70,Farmington,27
2013-08-30,Park Hill South,7,Fort Osage,25
2013-08-30,Seckman,21,Fox,28
2013-08-30,Holt,0,Francis Howell,45
2013-08-30,Francis Howell Central,17,Ft. Zumwalt East,37
2013-08-30,Troy Buchanan,40,Ft. Zumwalt South,28
2013-08-30,Christian Brothers College,21,Ft. Zumwalt West,24
2013-08-30,Osage,22,Fulton,28
2013-08-30,North Platte,0,Gallatin,22
2013-08-30,Joplin,21,Glendale,11
2013-08-30,Oak Park,40,Grandview,55
2013-08-30,Fayette,12,Hallsville,42
2013-08-30,Harrisonville,22,Helias Catholic,21
2013-08-30,Scott City,0,Herculaneum,13
2013-08-30,Montgomery County,23,Hermann,20
2013-08-30,Nevada,6,Holden,26
2013-08-30,Strafford,51,Hollister,22
2013-08-30,North County,13,Jackson,47
2013-08-30,Jefferson (Festus),52,John F. Kennedy,32
2013-08-30,North Kansas City,33,Kearney,52
2013-08-30,Parkview,25,Kickapoo,39
2013-08-30,Versailles,32,Knob Noster,35
2013-08-30,Mexico,7,Lafayette (St. Joseph),26
2013-08-30,McDonald County,0,Lamar,75
2013-08-30,King City with Pattonsburg,18,Lathrop,65
2013-08-30,Rolla,7,Lebanon,27
2013-08-30,Ruskin,0,Liberty North,40
2013-08-30,Wellington-Napoleon,26,Lone Jack,29
2013-08-30,Bishop DuBourg,0,Lutheran South,49
2013-08-30,Principia,49,Lutheran St. Charles,21
2013-08-30,Palmyra,36,Macon,25
2013-08-30,MICDS,39,Maplewood-Richmond Hts.,12
2013-08-30,Knox County,12,Marceline,41
2013-08-30,Oakville,27,Marquette,21
2013-08-30,Chillicothe,21,Marshall,0
2013-08-30,Willard,30,Marshfield,16
2013-08-30,Lawson,0,Maryville,32
2013-08-30,Sarcoxie,42,McAuley Catholic,8
2013-08-30,Northwest (Cedar Hill),15,Mehlville,14
2013-08-30,Orrick,0,Mid-Buchanan,56
2013-08-30,Princeton with Mercer,7,Milan,34
2013-08-30,Blair Oaks,18,Moberly,48
2013-08-30,St. Pius X (Kansas City),28,Odessa,0
2013-08-30,Bowling Green,44,Orchard Farm,38
2013-08-30,Midway,18,Osceola,3
2013-08-30,DeSoto with Kingston,21,Pacific,28
2013-08-30,Raytown South,7,Park Hill,35
2013-08-30,Ladue Horton Watkins,10,Parkway Central,41
2013-08-30,SLUH,30,Parkway North,21
2013-08-30,Lindbergh,32,Parkway South,7
2013-08-30,Kirkwood,49,Pattonville,31
2013-08-30,Albany,8,Putnam County,22
2013-08-30,Lee's Summit,28,Raytown,13
2013-08-30,Cardinal Ritter,8,Ritenour,47
2013-08-30,Grain Valley,42,Savannah,46
2013-08-30,Paris,26,Schuyler County,16
2013-08-30,Salisbury,35,Scotland County,6
2013-08-30,Santa Fe,78,Slater,63
2013-08-30,Nixa,41,Smith-Cotton,0
2013-08-30,Pleasant Hill,17,Smithville,16
2013-08-30,North Callaway,0,South Callaway,31
2013-08-30,Penney,6,South Harrison,0
2013-08-30,Kirksville,40,Southern Boone,26
2013-08-30,East Newton,17,Springfield Catholic,35
2013-08-30,Ft. Zumwalt North,28,St. Charles West,6
2013-08-30,Warrenton,7,St. Dominic,12
2013-08-30,Cuba,22,St. James,49
2013-08-30,St. Charles,27,St. Mary's South Side,20
2013-08-30,Sumner,12,St. Vincent,8
2013-08-30,Lee's Summit West,28,Staley,14
2013-08-30,Windsor,38,Sweet Springs with Malta Bend,6
2013-08-30,Parkway West,0,Timberland,27
2013-08-30,Sacred Heart,39,Tipton,0
2013-08-30,Blue Springs South,47,Truman,0
2013-08-30,Poplar Bluff,31,Union,14
2013-08-30,Center,41,University Academy Charter,6
2013-08-30,Father Tolton with Calvary Lutheran,0,Valle Catholic,56
2013-08-30,Veritas Christian Academy,50,Van-Far with Community,0
2013-08-30,Francis Howell North,28,Vianney,42
2013-08-30,Clinton,15,Warsaw,49
2013-08-30,Carl Junction,29,Webb City,52
2013-08-30,St. Paul Lutheran (Concordia),57,Wentworth Military Academy,0
2013-08-30,Waynesville,13,West Plains,14
2013-08-30,Lincoln College Prep,21,West Platte,20
2013-08-30,Reeds Spring,33,Willow Springs,13
2013-08-30,Affton,55,Windsor (Imperial),0
2013-08-30,Clopton with Elsberry,14,Winfield,28
2013-08-30,Liberty,35,Winnetonka,0
2013-08-30,Trinity Catholic,31,Wright City,19
2013-08-31,Ozark,55,Benton,42
2013-08-31,Webster Groves,28,Hazelwood Central,33
2013-08-31,McCluer,0,Hazelwood East,41
2013-08-31,Maysville,0,Hogan Prep Academy Charter,71
2013-08-31,Transportation and Law with Beaumont,14,Jennings,30
2013-08-31,Central (Cape Girardeau),7,John Burroughs,28
2013-08-31,Clayton,34,Lutheran North,7
2013-08-31,Jefferson City,24,McCluer North,7
2013-08-31,Lift for Life Academy Charter,0,McCluer South-Berkeley,44
2013-08-31,Gateway,8,Riverview Gardens,34
2013-08-31,Roosevelt,7,Soldan International Studies,28
2013-09-05,Kearney,55,Lee's Summit,77
2013-09-06,Drexel with Miami (Amoret),26,Adrian,24
2013-09-06,Duchesne,20,Affton,7
2013-09-06,Midway,39,Archie,0
2013-09-06,East Newton,13,Aurora,34
2013-09-06,Lutheran St. Charles,27,Bishop DuBourg,29
2013-09-06,Owensville,13,Blair Oaks,55
2013-09-06,Fort Osage,40,Blue Springs South,9
2013-09-06,Branson,7,Bolivar,17
2013-09-06,Winfield,0,Bowling Green,45
2013-09-06,Salisbury,52,Braymer,7
2013-09-06,Sherwood,14,Butler,20
2013-09-06,West Plains,15,Camdenton,35
2013-09-06,St. Dominic,6,Cardinal Ritter,34
2013-09-06,Carthage,32,Carl Junction,63
2013-09-06,Westran,30,Carrollton,6
2013-09-06,Smithville,16,Center,7
2013-09-06,Willow Springs,32,Central (Springfield),18
2013-09-06,Platte County,12,Central (St. Joseph),15
2013-09-06,Roosevelt,6,Chaminade College Preparatory,45
2013-09-06,Hayti,6,Charleston,34
2013-09-06,Kirksville,8,Chillicothe,42
2013-09-06,Eureka,7,Christian Brothers College,38
2013-09-06,Montgomery County,47,Clopton with Elsberry,8
2013-09-06,Orrick,6,Concordia,63
2013-09-06,South Callaway,46,Crystal City,6
2013-09-06,Hermann,49,Cuba,6
2013-09-06,Hazelwood Central,42,De Smet Jesuit,38
2013-09-06,South Harrison,32,East Buchanan,38
2013-09-06,Buffalo,14,Eldon,41
2013-09-06,Cameron,38,Excelsior Springs,15
2013-09-06,Southern Boone,32,Father Tolton with Calvary Lutheran,28
2013-09-06,Sullivan,7,Festus,42
2013-09-06,Rockwood Summit,28,Fox,14
2013-09-06,Ft. Zumwalt East,45,Francis Howell North,15
2013-09-06,Mehlville,12,Ft. Zumwalt North,28
2013-09-06,Francis Howell Central,43,Ft. Zumwalt South,0
2013-09-06,Hillcrest,43,Glendale,0
2013-09-06,Savannah,22,Harrisonville,29
2013-09-06,Transportation and Law with Beaumont,24,Herculaneum,20
2013-09-06,St. James,39,Houston,20
2013-09-06,Vianney,52,Jackson,27
2013-09-06,McAuley Catholic,21,Jasper,59
2013-09-06,Cleveland NJROTC,34,Jefferson (Festus),64
2013-09-06,Parkview,21,Joplin,38
2013-09-06,Lone Jack,27,King City with Pattonsburg,20
2013-09-06,Hazelwood East,21,Kirkwood,38
2013-09-06,El Dorado Springs,25,Knob Noster,12
2013-09-06,Pattonville,21,Lafayette (Wildwood),35
2013-09-06,Boonville,0,Lafayette County,15
2013-09-06,Richmond,13,Lawson,42
2013-09-06,Ruskin,6,Lee's Summit North,37
2013-09-06,Park Hill,14,Lee's Summit West,42
2013-09-06,Springfield Catholic,7,Liberty (Mountain View),50
2013-09-06,Truman,0,Liberty North,49
2013-09-06,McCluer North,30,Lindbergh,29
2013-09-06,Clark County,40,Louisiana,15
2013-09-06,John Burroughs,48,Lutheran South,7
2013-09-06,Caruthersville,32,Malden,7
2013-09-06,Brentwood,42,Maplewood-Richmond Hts.,22
2013-09-06,Pleasant Hope,0,Marionville,36
2013-09-06,Lafayette (St. Joseph),30,Marshall,14
2013-09-06,Mid-Buchanan,21,Maysville,6
2013-09-06,California,42,Mexico,14
2013-09-06,Van-Far with Community,26,Missouri Military Academy,0
2013-09-06,Hollister,18,Mountain Grove,60
2013-09-06,Belton,14,Nixa,28
2013-09-06,Tipton,20,North Callaway,26
2013-09-06,University Academy Charter,36,North Platte,0
2013-09-06,Seckman,7,Northwest (Cedar Hill),20
2013-09-06,Holden,0,Oak Grove,35
2013-09-06,North Kansas City,56,Oak Park,0
2013-09-06,Parkway North,35,Oakville,28
2013-09-06,Lincoln College Prep,7,O'Hara,35
2013-09-06,Moberly,34,Osage,7
2013-09-06,Hallsville,40,Paris,24
2013-09-06,Blue Springs,49,Park Hill South,14
2013-09-06,Clayton,0,Parkway Central,49
2013-09-06,Ladue Horton Watkins,70,Parkway West,0
2013-09-06,Clinton,6,Pembroke Hill,46
2013-09-06,Gallatin,7,Penney,42
2013-09-06,Lift for Life Academy Charter,6,Perryville,19
2013-09-06,Dexter,7,Poplar Bluff,34
2013-09-06,Pacific,26,Potosi,28
2013-09-06,Putnam County,16,Princeton with Mercer,27
2013-09-06,Liberty,47,Raymore-Peculiar,14
2013-09-06,Staley,36,Raytown,16
2013-09-06,Marshfield,30,Republic,40
2013-09-06,Lockwood with Golden City,30,Rich Hill with Hume,28
2013-09-06,Parkway South,3,Ritenour,13
2013-09-06,Ft. Zumwalt West,14,Rock Bridge,48
2013-09-06,Kickapoo,49,Rolla,14
2013-09-06,Crest Ridge,49,Santa Fe,12
2013-09-06,Knox County,30,Scotland County,34
2013-09-06,St. Vincent,25,Scott City,14
2013-09-06,Lamar,56,Seneca,21
2013-09-06,Central (New Madrid County),0,Sikeston,29
2013-09-06,Fair Grove,28,Skyline,39
2013-09-06,Central (Cape Girardeau),38,St. Charles West,40
2013-09-06,Windsor (Imperial),15,St. Mary's South Side,13
2013-09-06,Sweet Springs with Malta Bend,0,St. Paul Lutheran (Concordia),42
2013-09-06,Chaffee,31,St. Pius X (Festus),14
2013-09-06,Valle Catholic,36,Ste. Genevieve,28
2013-09-06,Ash Grove,50,Stockton,6
2013-09-06,Cabool,12,Strafford,52
2013-09-06,Farmington,33,Trinity Catholic,7
2013-09-06,Warrenton,14,Troy Buchanan,41
2013-09-06,St. Francis Borgia,21,Union,60
2013-09-06,Gateway,15,Vashon,22
2013-09-06,St. Charles,12,Veritas Christian Academy,40
2013-09-06,Fulton,44,Versailles,33
2013-09-06,Timberland,48,Washington,0
